chunkid	passagefails	worderrors
39072_0	0.01213	0.01428
39072_1	0.00046	0.01801
39072_2	0.00271	0.01428
39072_3	0.05763	0.01151
37710_0	0.01132	0.00766
37710_1	0.00914	0.00756
37710_2	0.0	0.00812
37710_3	0.00147	0.00714
37710_4	0.00243	0.00661
53241_0	0.12125	0.00207
53241_1	0.01434	0.00627
53241_2	0.01376	0.00306
53241_3	0.01613	0.00315
53241_4	0.01754	0.00331
53241_5	0.16875	0.00603
46102_0	0.00857	0.01676
46102_1	0.00908	0.01589
46102_2	0.08266	0.01465
52003_0	0.22064	0.15533
52003_1	0.13825	0.1598
52003_2	0.20583	0.19725
52003_3	0.11625	0.16371
27661_0	0.05386	0.00698
27661_1	0.04451	0.00845
27661_2	0.04652	0.01112
27661_3	0.03876	0.00759
27661_4	0.03887	0.00672
27661_5	0.04136	0.00669
55222_0	0.02636	0.00821
55222_1	0.00356	0.00834
55222_2	0.0145	0.00659
44065_0	0.01341	0.12315
44065_1	0.00215	0.12471
44065_2	0.67914	0.13397
44065_3	0.99933	0.18182
44065_4	0.99783	0.03226
44065_5	0.9977	0.05
44065_6	0.99771	0.06667
32642_0	0.03553	0.00795
32642_1	0.00448	0.00938
32642_2	0.01365	0.0062
58666_0	0.03922	0.01414
58666_1	0.00256	0.00984
58666_2	0.00528	0.01148
58666_3	0.0032	0.01201
58666_4	0.00412	0.0105
58666_5	0.00619	0.01219
58666_6	0.00709	0.01075
45187_0	0.33877	0.02241
45187_1	0.08541	0.01992
45187_2	0.01802	0.01408
3913_0	0.20345	0.01199
3913_1	0.01626	0.01212
3913_2	0.01421	0.0138
3913_3	0.01055	0.01443
3913_4	0.01684	0.01281
3913_5	0.0188	0.01492
3913_6	0.01686	0.01571
3913_7	0.01329	0.01605
3913_8	0.02301	0.01683
3913_9	0.02036	0.01649
28380_0	0.01083	0.01099
28380_1	0.00464	0.01216
28380_2	0.0069	0.00883
28380_3	0.96627	0.01535
40014_0	0.03235	0.00774
40014_1	0.00177	0.00671
40014_2	0.00449	0.00875
40014_3	0.00568	0.00526
40014_4	0.00373	0.00717
40014_5	0.00288	0.00866
40014_6	0.00372	0.00484
40014_7	0.30196	0.0051
43864_0	0.01747	0.01388
43864_1	0.00334	0.01267
43864_2	0.00199	0.01495
43864_3	0.00235	0.01414
9609_0	0.04025	0.14857
9609_1	0.02224	0.14453
9609_2	0.02538	0.14535
9609_3	0.02817	0.15769
9609_4	0.0256	0.15843
38018_0	0.01487	0.00823
38018_1	0.0007	0.00798
38018_2	0.0	0.00657
38018_3	0.05304	0.00781
5083_0	0.04281	0.1496
5083_1	0.01382	0.15588
5083_2	0.02741	0.15358
AulnMHJfic_0	0.04478	0.15788
AulnMHJfic_1	0.02138	0.15891
AulnMHJfic_2	0.02903	0.16031
AulnMHJfic_3	0.01498	0.15084
AulnMHJfic_4	0.02059	0.16201
AulnMHJfic_5	0.02703	0.16428
AulnMHJfic_6	0.01925	0.15388
43552_0	0.02273	0.0113
43552_1	0.00778	0.01049
43552_2	0.00076	0.00946
43552_3	0.0	0.00927
43552_4	0.97309	0.01081
27759_0	0.10239	0.00702
27759_1	0.04504	0.0077
27759_2	0.44538	0.00918
32340_0	0.06191	0.02149
32340_1	0.02636	0.03684
32340_10	0.00954	0.02128
32340_11	0.01085	0.02897
32340_12	0.01648	0.02196
32340_2	0.01328	0.02317
32340_3	0.00887	0.02231
32340_4	0.01073	0.01969
32340_5	0.01176	0.02137
32340_6	0.00588	0.02194
32340_7	0.00866	0.0243
32340_8	0.00911	0.0187
32340_9	0.00685	0.02205
54615_0	0.02432	0.00479
54615_1	0.00608	0.00283
54615_2	0.00575	0.00485
54615_3	0.00564	0.00483
54615_4	0.00933	0.0054
54615_5	0.01006	0.0042
54615_6	0.00828	0.00513
50698_0	0.01703	0.00824
50698_1	0.11173	0.00956
41795_0	0.02933	0.00468
41795_1	0.01375	0.00929
41795_2	0.00695	0.00819
28694_0	0.0227	0.00525
28694_1	0.00586	0.00544
28694_2	0.0083	0.01016
28694_3	0.01769	0.00622
32424_0	0.02	0.01636
32424_1	0.0062	0.01602
32424_2	0.00756	0.01247
32424_3	0.01339	0.01268
53031_0	0.04833	0.01098
53031_1	0.00299	0.01023
53031_2	0.07509	0.01038
43168_0	0.02002	0.01145
43168_1	0.0033	0.01011
43168_2	0.00059	0.01067
43168_3	0.00223	0.00902
43168_4	0.00264	0.00943
43168_5	0.00071	0.0098
43168_6	0.00238	0.01082
43168_7	0.00193	0.01131
43168_8	0.08152	0.01001
34858_0	0.03711	0.01073
34858_1	0.04499	0.00954
34858_10	0.01317	0.00855
34858_11	0.00318	0.00804
34858_12	0.09118	0.00739
34858_2	0.06048	0.00807
34858_3	0.30263	0.01067
34858_4	0.16052	0.00699
34858_5	0.0857	0.01159
34858_6	0.01873	0.00816
34858_7	0.13192	0.00844
34858_8	0.02028	0.00877
34858_9	0.02823	0.01036
35213_0	0.04879	0.01462
35213_1	0.00848	0.0177
35213_2	0.01132	0.01503
35213_3	0.01035	0.01645
35213_4	0.01111	0.01842
35213_5	0.00802	0.01366
35213_6	0.0052	0.01266
35213_7	0.67653	0.01183
44165_0	0.01579	0.00659
44165_1	0.00275	0.00587
44165_2	0.00214	0.00658
44165_3	0.00144	0.00609
44165_4	0.00329	0.00733
haywood.09_0	0.99919	0.06667
haywood.09_1	0.9991	0.04762
haywood.09_10	1.0	0.0
haywood.09_11	0.99917	0.18182
haywood.09_12	0.99946	0.0
haywood.09_2	0.99848	0.0
haywood.09_3	0.99823	0.07407
haywood.09_4	1.0	0.0
haywood.09_5	1.0	0.0
haywood.09_6	0.99895	0.09524
haywood.09_7	1.0	0.0
haywood.09_8	0.99876	0.04762
haywood.09_9	0.99916	0.06452
34440_0	0.05341	0.01206
34440_1	0.00069	0.0136
34440_2	0.00126	0.01673
34440_3	0.00165	0.0143
34440_4	0.00233	0.01437
31472_0	0.02282	0.00972
31472_1	0.00135	0.01038
31472_2	0.00382	0.00959
31472_3	0.00455	0.00872
31472_4	0.00399	0.01058
31472_5	0.16534	0.00905
31857_0	0.02258	0.00921
31857_1	0.01759	0.01008
31857_2	0.00442	0.00925
31857_3	0.00687	0.00958
370_0	0.16827	0.11778
