chunkid	passagefails	worderrors
35847_0	0.03996	0.02374
35847_1	0.02505	0.02399
35847_2	0.02571	0.02163
35847_3	0.03594	0.02528
35847_4	0.01594	0.01854
47209_0	0.10589	0.0192
47209_1	0.00742	0.01925
47209_2	0.01428	0.0174
47209_3	0.01077	0.01824
47209_4	0.01853	0.01922
47209_5	0.01111	0.02036
47209_6	0.0099	0.01799
47209_7	0.02236	0.01635
CumbRAE2bio_0	0.02185	0.07079
CumbRAE2bio_1	0.02629	0.07168
SmolTHAfic_0	0.05945	0.17559
SmolTHAfic_1	0.04804	0.16948
SmolTHAfic_2	0.05773	0.17516
33402_0	0.04406	0.01868
33402_1	0.03308	0.01636
33402_2	0.03242	0.01801
33402_3	0.00962	0.0158
33402_4	0.47232	0.01242
35717_0	0.04888	0.00678
35717_1	0.00193	0.00731
35717_10	0.00123	0.00529
35717_11	0.00553	0.00899
35717_12	0.00301	0.00586
35717_13	0.00694	0.00689
35717_14	0.00209	0.00483
35717_15	0.00251	0.00686
35717_2	0.00532	0.00695
35717_3	0.00252	0.00634
35717_4	0.00378	0.00592
35717_5	0.00326	0.00524
35717_6	0.0041	0.00702
35717_7	0.00259	0.00634
35717_8	0.00124	0.0042
35717_9	0.00217	0.00569
amory.01_0	0.14022	0.15326
amory.01_1	0.0391	0.14276
amory.01_10	0.04794	0.14433
amory.01_11	0.04801	0.15052
amory.01_12	0.04725	0.14947
amory.01_13	0.04923	0.14246
amory.01_14	0.03777	0.14941
amory.01_15	0.03319	0.15017
amory.01_16	0.03718	0.14179
amory.01_17	0.09188	0.15087
amory.01_18	0.04125	0.14821
amory.01_2	0.02246	0.146
amory.01_3	0.03157	0.15556
amory.01_4	0.04217	0.15604
amory.01_5	0.03758	0.1403
amory.01_6	0.05415	0.14179
amory.01_7	0.03184	0.15356
amory.01_8	0.03545	0.16743
amory.01_9	0.20619	0.14823
51468_0	0.01821	0.01214
51468_1	0.00149	0.00935
51468_2	0.00128	0.01412
51468_3	0.11082	0.01093
36626_0	0.08724	0.01813
36626_1	0.00969	0.01543
36626_10	0.02765	0.02488
36626_11	0.00821	0.02207
36626_12	0.01158	0.02137
36626_13	0.01578	0.02302
36626_14	0.28919	0.02633
36626_2	0.00974	0.01864
36626_3	0.01004	0.02051
36626_4	0.01741	0.01933
36626_5	0.0099	0.01771
36626_6	0.01464	0.02132
36626_7	0.01161	0.02118
36626_8	0.01387	0.02258
36626_9	0.02863	0.02096
30530_0	0.05733	0.00628
30530_1	0.00448	0.00511
30530_2	0.00723	0.00584
30530_3	0.00867	0.00637
31835_0	0.01464	0.00683
31835_1	0.00551	0.00758
31835_2	0.00332	0.00703
31835_3	0.00883	0.00646
39716_0	0.06931	0.01637
39716_1	0.0016	0.01651
39716_2	0.00664	0.01312
40570_0	0.01369	0.00436
40570_1	0.00321	0.00323
40570_2	0.00235	0.005
40570_3	0.00099	0.00427
40570_4	0.84835	0.00603
EquiOINbio_0	0.16571	0.15962
EquiOINbio_1	0.01276	0.15481
EquiOINbio_2	0.01295	0.15708
EquiOINbio_3	0.96072	0.12171
35500_0	0.0193	0.01171
35500_1	0.0103	0.00994
35500_2	0.00218	0.00977
35500_3	0.00639	0.00995
29854_0	0.01242	0.01284
29854_1	0.00316	0.00985
29854_10	0.00586	0.0089
29854_11	0.02382	0.01367
29854_2	0.00358	0.00644
29854_3	0.0	0.00708
29854_4	0.00142	0.01084
29854_5	0.00253	0.00776
29854_6	0.00054	0.01025
29854_7	0.00328	0.00856
29854_8	0.00319	0.00633
29854_9	0.00814	0.01511
41256_0	0.09004	0.17179
41256_1	0.01312	0.17603
41256_2	0.04412	0.17156
41256_3	0.03813	0.17451
41256_4	0.02164	0.18085
29868_0	0.01419	0.00915
29868_1	0.00378	0.00951
29868_2	0.00886	0.00856
29868_3	0.00816	0.0071
38447_0	0.0416	0.01049
38447_1	0.00365	0.00617
38447_2	0.00285	0.00778
38447_3	0.00079	0.00899
38447_4	0.00405	0.00688
38447_5	0.00259	0.00812
38447_6	0.00715	0.00938
42857_0	0.0479	0.0034
42857_1	0.01018	0.00262
42857_2	0.00999	0.00305
42857_3	0.01235	0.00476
42857_4	0.01502	0.00628
42857_5	0.02361	0.00507
42857_6	0.01813	0.0045
manley.01_0	1.0	0.0
manley.01_1	1.0	0.0
manley.01_2	0.99759	0.12195
manley.01_3	1.0	0.0
manley.01_4	0.9998	0.25
manley.01_5	0.99943	0.18182
52072_0	0.03498	0.01949
52072_1	0.03342	0.01659
52072_10	0.02916	0.01746
52072_11	0.03917	0.01792
52072_12	0.0289	0.01601
52072_13	0.03127	0.01722
52072_14	0.01774	0.01397
52072_15	0.54269	0.01295
52072_2	0.0307	0.01752
52072_3	0.07742	0.01836
52072_4	0.0324	0.01686
52072_5	0.03222	0.01752
52072_6	0.0355	0.01738
52072_7	0.04955	0.01844
52072_8	0.03103	0.0137
52072_9	0.03137	0.01627
33498_0	0.0183	0.01292
33498_1	0.01063	0.01145
33498_2	0.00477	0.01096
33498_3	0.18886	0.0082
51235_0	0.23704	0.01598
51235_1	0.04068	0.01696
2512_0	0.11158	0.01754
2512_1	0.03472	0.01178
2512_2	0.03391	0.01235
2512_3	0.03342	0.01275
2512_4	0.05679	0.01499
2512_5	0.08648	0.01435
37415_0	0.01941	0.01395
37415_1	0.01027	0.01278
47333_0	0.01774	0.01149
47333_1	0.00659	0.01563
47333_2	0.00217	0.0127
47333_3	0.00468	0.01117
44982_0	0.03155	0.01143
44982_1	0.00057	0.01341
44982_2	0.00119	0.01062
44982_3	0.00554	0.01165
44982_4	0.00189	0.01046
44982_5	0.00195	0.00945
44982_6	0.00134	0.00856
37788_0	0.05459	0.0156
37788_1	0.00394	0.01733
37788_10	0.00957	0.01577
37788_2	0.00509	0.01879
37788_3	0.00197	0.01796
37788_4	0.01148	0.01644
37788_5	0.00128	0.02107
37788_6	0.01061	0.01798
37788_7	0.00544	0.01773
37788_8	0.00355	0.01997
37788_9	0.00351	0.01584
42101_0	0.02373	0.00968
42101_1	0.00231	0.01065
42101_2	0.00071	0.01025
42101_3	0.16074	0.0088
40919_0	0.04389	0.00532
40919_1	0.0059	0.00511
40919_2	0.00459	0.00788
40919_3	0.00916	0.00551
35997_0	0.04218	0.00421
35997_1	0.02584	0.00372
35997_2	0.02894	0.00302
39824_0	0.02016	0.01054
39824_1	0.0018	0.00928
39824_2	0.0	0.01039
39824_3	0.00148	0.01056
39824_4	0.00123	0.00971
39824_5	0.00445	0.00815
37955_0	0.20612	0.00903
37955_1	0.0392	0.00836
37955_2	0.06449	0.00786
37955_3	0.03895	0.00726
37955_4	0.04096	0.01069
37955_5	0.03879	0.01073
37955_6	0.04297	0.00738
37955_7	0.07827	0.01051
36134_0	0.05014	0.00598
36134_1	0.01679	0.00446
