chunkid	passagefails	worderrors
36958_0	0.019	0.01423
36958_1	0.00392	0.0128
36958_2	0.00788	0.01131
36958_3	0.01311	0.0105
49154_0	0.25348	0.00373
49154_1	0.04947	0.00665
49154_2	0.06392	0.00883
49154_3	0.04655	0.00691
49154_4	0.04689	0.01022
49154_5	0.04835	0.01322
49154_6	0.04877	0.0134
49154_7	0.03187	0.01028
49154_8	0.49757	0.01737
38020_0	0.02805	0.00981
38020_1	0.00113	0.01651
38020_2	0.00261	0.00693
38020_3	0.00506	0.01199
38020_4	0.00242	0.01035
RereJMHbio_0	0.02089	0.02395
RereJMHbio_1	0.01984	0.02774
RereJMHbio_2	0.018	0.02455
RereJMHbio_3	0.01756	0.02145
RereJMHbio_4	0.01833	0.02298
RereJMHbio_5	0.4324	0.02548
37878_0	0.02322	0.01274
37878_1	0.00539	0.01173
37878_2	0.00447	0.01764
37878_3	0.09043	0.01457
RadcASR2fic_0	0.00973	0.03243
RadcASR2fic_1	0.00457	0.02939
37688_0	0.01676	0.01078
37688_1	0.0	0.0121
37688_2	0.0	0.01192
37688_3	0.20627	0.01031
38236_0	0.10096	0.00784
38236_1	0.01659	0.00892
38236_2	0.01298	0.00908
38236_3	0.01015	0.00879
38236_4	0.06222	0.01033
HawkJLSbio_0	0.03942	0.04134
HawkJLSbio_1	0.02522	0.03827
HawkJLSbio_10	0.02454	0.03683
HawkJLSbio_11	0.03022	0.02938
HawkJLSbio_12	0.39794	0.03264
HawkJLSbio_2	0.03199	0.04053
HawkJLSbio_3	0.03489	0.04076
HawkJLSbio_4	0.02935	0.03515
HawkJLSbio_5	0.03049	0.03836
HawkJLSbio_6	0.03044	0.03787
HawkJLSbio_7	0.02878	0.0408
HawkJLSbio_8	0.03466	0.03237
HawkJLSbio_9	0.03156	0.0324
38418_0	0.10199	0.01373
38418_1	0.01907	0.013
38418_10	0.05432	0.01084
38418_11	0.05526	0.01185
38418_12	0.02351	0.0126
38418_13	0.02141	0.01074
38418_14	0.02262	0.00935
38418_15	0.73862	0.01333
38418_2	0.03738	0.0102
38418_3	0.03977	0.01112
38418_4	0.04395	0.01204
38418_5	0.02124	0.01039
38418_6	0.1102	0.0105
38418_7	0.08101	0.01072
38418_8	0.12148	0.00974
38418_9	0.12457	0.00867
39712_0	0.25697	0.00769
39712_1	0.00269	0.00473
39712_2	0.02956	0.00657
39712_3	0.00985	0.00862
37059_0	0.1315	0.00905
37059_1	0.095	0.01066
37059_2	0.11252	0.01129
37059_3	0.08175	0.012
37059_4	0.12587	0.01026
37059_5	0.08769	0.0118
37059_6	0.66719	0.01044
55347_0	0.03358	0.01565
55347_1	0.0	0.01713
55347_2	0.00804	0.0134
55347_3	0.00141	0.01512
55347_4	0.00127	0.01757
55347_5	0.92874	0.01733
44262_0	0.03238	0.01202
